key	freq	prob	cfreq	cprob	count	cfrac
25488	8639	0.009807	8639	0.009807	1	4.554e-05
17780	8261	0.009378	16900	0.01918	2	9.107e-05
11088	6602	0.007494	23502	0.02668	3	0.0001366
6154	6443	0.007314	29945	0.03399	4	0.0001821
14062	6421	0.007289	36366	0.04128	5	0.0002277
15148	6224	0.007065	42590	0.04835	6	0.0002732
1098	6012	0.006825	48602	0.05517	7	0.0003187
20626	5902	0.0067	54504	0.06187	8	0.0003643
7917	5848	0.006638	60352	0.06851	9	0.0004098
15384	5685	0.006453	66037	0.07496	10	0.0004554
28954	5618	0.006377	71655	0.08134	11	0.0005009
2708	5613	0.006372	77268	0.08771	12	0.0005464
21932	5404	0.006134	82672	0.09385	13	0.000592
20212	5366	0.006091	88038	0.09994	14	0.0006375
15870	5137	0.005831	93175	0.1058	15	0.000683
15912	4940	0.005608	98115	0.1114	16	0.0007286
14349	4752	0.005394	102867	0.1168	17	0.0007741
28609	4617	0.005241	107484	0.122	18	0.0008196
20421	4558	0.005174	112042	0.1272	19	0.0008652
27027	4538	0.005151	116580	0.1323	20	0.0009107
12135	4390	0.004983	120970	0.1373	21	0.0009562
19967	4355	0.004944	125325	0.1423	22	0.001002
12777	4349	0.004937	129674	0.1472	23	0.001047
4237	4307	0.004889	133981	0.1521	24	0.001093
22258	4286	0.004865	138267	0.157	25	0.001138
19931	4129	0.004687	142396	0.1616	26	0.001184
19038	4118	0.004675	146514	0.1663	27	0.001229
19156	3940	0.004473	150454	0.1708	28	0.001275
15730	3826	0.004343	154280	0.1751	29	0.001321
5413	3819	0.004335	158099	0.1795	30	0.001366
19933	3730	0.004234	161829	0.1837	31	0.001412
22332	3695	0.004194	165524	0.1879	32	0.001457
2452	3692	0.004191	169216	0.1921	33	0.001503
7862	3684	0.004182	172900	0.1963	34	0.001548
29886	3628	0.004118	176528	0.2004	35	0.001594
16106	3545	0.004024	180073	0.2044	36	0.001639
6244	3538	0.004016	183611	0.2084	37	0.001685
16507	3475	0.003945	187086	0.2124	38	0.00173
26366	3463	0.003931	190549	0.2163	39	0.001776
15804	3417	0.003879	193966	0.2202	40	0.001821
7512	3397	0.003856	197363	0.224	41	0.001867
19133	3338	0.003789	200701	0.2278	42	0.001912
16723	3326	0.003776	204027	0.2316	43	0.001958
7925	3296	0.003742	207323	0.2353	44	0.002004
5512	3271	0.003713	210594	0.2391	45	0.002049
16432	3265	0.003706	213859	0.2428	46	0.002095
19492	3113	0.003534	216972	0.2463	47	0.00214
17204	3059	0.003472	220031	0.2498	48	0.002186
7107	3040	0.003451	223071	0.2532	49	0.002231
328	3032	0.003442	226103	0.2567	50	0.002277
28014	2986	0.00339	229089	0.2601	51	0.002322
21849	2969	0.00337	232058	0.2634	52	0.002368
20390	2956	0.003356	235014	0.2668	53	0.002413
554	2946	0.003344	237960	0.2701	54	0.002459
6090	2905	0.003298	240865	0.2734	55	0.002504
680	2885	0.003275	243750	0.2767	56	0.00255
24456	2873	0.003261	246623	0.28	57	0.002596
29663	2869	0.003257	249492	0.2832	58	0.002641
24627	2786	0.003163	252278	0.2864	59	0.002687
16329	2776	0.003151	255054	0.2895	60	0.002732
14402	2736	0.003106	257790	0.2926	61	0.002778
26907	2699	0.003064	260489	0.2957	62	0.002823
5020	2643	0.003	263132	0.2987	63	0.002869
27643	2630	0.002986	265762	0.3017	64	0.002914
