brewer	freq	prob	cfreq	cprob	count	cfrac
26051	60106	0.06823	60106	0.06823	1	0.0003643
9397	58505	0.06641	118611	0.1346	2	0.0007286
15267	37035	0.04204	155646	0.1767	3	0.001093
388	33033	0.0375	188679	0.2142	4	0.001457
29844	28555	0.03241	217234	0.2466	5	0.001821
5649	23603	0.02679	240837	0.2734	6	0.002186
2779	23548	0.02673	264385	0.3001	7	0.00255
13841	22722	0.02579	287107	0.3259	8	0.002914
20884	18047	0.02049	305154	0.3464	9	0.003279
20435	16726	0.01899	321880	0.3654	10	0.003643
12959	13923	0.01581	335803	0.3812	11	0.004007
27315	12203	0.01385	348006	0.395	12	0.004372
17710	11853	0.01346	359859	0.4085	13	0.004736
15587	11766	0.01336	371625	0.4219	14	0.0051
11817	10922	0.0124	382547	0.4343	15	0.005464
7194	10420	0.01183	392967	0.4461	16	0.005829
19824	10098	0.01146	403065	0.4575	17	0.006193
17204	10006	0.01136	413071	0.4689	18	0.006557
1479	9305	0.01056	422376	0.4795	19	0.006922
15122	9178	0.01042	431554	0.4899	20	0.007286
15897	8510	0.00966	440064	0.4995	21	0.00765
9149	8455	0.009598	448519	0.5091	22	0.008015
28185	8365	0.009496	456884	0.5186	23	0.008379
21279	7052	0.008005	463936	0.5266	24	0.008743
1138	6928	0.007864	470864	0.5345	25	0.009107
6240	6907	0.007841	477771	0.5424	26	0.009472
2843	6810	0.007731	484581	0.5501	27	0.009836
12110	6770	0.007685	491351	0.5578	28	0.0102
22901	6735	0.007645	498086	0.5654	29	0.01056
4502	6729	0.007639	504815	0.5731	30	0.01093
11416	6560	0.007447	511375	0.5805	31	0.01129
25835	6438	0.007308	517813	0.5878	32	0.01166
24053	6271	0.007119	524084	0.5949	33	0.01202
2027	6254	0.007099	530338	0.602	34	0.01239
11423	6237	0.00708	536575	0.6091	35	0.01275
254	5988	0.006797	542563	0.6159	36	0.01311
10824	5842	0.006632	548405	0.6225	37	0.01348
1648	5772	0.006552	554177	0.6291	38	0.01384
13881	5394	0.006123	559571	0.6352	39	0.01421
9252	5144	0.005839	564715	0.641	40	0.01457
19028	5077	0.005763	569792	0.6468	41	0.01494
6757	4939	0.005607	574731	0.6524	42	0.0153
15301	4712	0.005349	579443	0.6578	43	0.01566
13804	4654	0.005283	584097	0.6631	44	0.01603
19773	4487	0.005094	588584	0.6681	45	0.01639
12962	4367	0.004957	592951	0.6731	46	0.01676
7201	4329	0.004914	597280	0.678	47	0.01712
14696	3863	0.004385	601143	0.6824	48	0.01749
16039	3860	0.004382	605003	0.6868	49	0.01785
23057	3828	0.004345	608831	0.6911	50	0.01821
15763	3623	0.004113	612454	0.6952	51	0.01858
21756	3510	0.003984	615964	0.6992	52	0.01894
29829	3489	0.003961	619453	0.7032	53	0.01931
29816	3475	0.003945	622928	0.7071	54	0.01967
3993	3426	0.003889	626354	0.711	55	0.02004
4385	3395	0.003854	629749	0.7149	56	0.0204
12609	3387	0.003845	633136	0.7187	57	0.02077
23400	3377	0.003833	636513	0.7226	58	0.02113
26849	3365	0.00382	639878	0.7264	59	0.02149
26421	3295	0.00374	643173	0.7301	60	0.02186
27930	3275	0.003718	646448	0.7338	61	0.02222
22010	3255	0.003695	649703	0.7375	62	0.02259
6613	3210	0.003644	652913	0.7412	63	0.02295
27939	3193	0.003625	656106	0.7448	64	0.02332
26205	3189	0.00362	659295	0.7484	65	0.02368
6684	3167	0.003595	662462	0.752	66	0.02404
16034	3073	0.003488	665535	0.7555	67	0.02441
1614	3055	0.003468	668590	0.759	68	0.02477
19981	2949	0.003348	671539	0.7623	69	0.02514
18752	2903	0.003295	674442	0.7656	70	0.0255
20216	2808	0.003188	677250	0.7688	71	0.02587
716	2666	0.003026	679916	0.7718	72	0.02623
14405	2657	0.003016	682573	0.7748	73	0.02659
4446	2646	0.003004	685219	0.7778	74	0.02696
5481	2593	0.002944	687812	0.7808	75	0.02732
19990	2519	0.00286	690331	0.7836	76	0.02769
1297	2431	0.00276	692762	0.7864	77	0.02805
5949	2403	0.002728	695165	0.7891	78	0.02842
21906	2313	0.002626	697478	0.7918	79	0.02878
22158	2257	0.002562	699735	0.7943	80	0.02914
92	2189	0.002485	701924	0.7968	81	0.02951
19019	2140	0.002429	704064	0.7992	82	0.02987
4526	2137	0.002426	706201	0.8017	83	0.03024
16439	2098	0.002382	708299	0.804	84	0.0306
25104	2097	0.00238	710396	0.8064	85	0.03097
1869	2079	0.00236	712475	0.8088	86	0.03133
26912	2003	0.002274	714478	0.8111	87	0.03169
16311	1973	0.00224	716451	0.8133	88	0.03206
18393	1933	0.002194	718384	0.8155	89	0.03242
12485	1893	0.002149	720277	0.8176	90	0.03279
19017	1864	0.002116	722141	0.8198	91	0.03315
21534	1857	0.002108	723998	0.8219	92	0.03352
21123	1856	0.002107	725854	0.824	93	0.03388
22877	1829	0.002076	727683	0.826	94	0.03424
14739	1817	0.002063	729500	0.8281	95	0.03461
7183	1792	0.002034	731292	0.8301	96	0.03497
16224	1783	0.002024	733075	0.8322	97	0.03534
26873	1779	0.002019	734854	0.8342	98	0.0357
3973	1735	0.00197	736589	0.8362	99	0.03607
29320	1730	0.001964	738319	0.8381	100	0.03643
1026	1695	0.001924	740014	0.84	101	0.03679
24163	1680	0.001907	741694	0.842	102	0.03716
18239	1671	0.001897	743365	0.8438	103	0.03752
2600	1630	0.00185	744995	0.8457	104	0.03789
16203	1617	0.001836	746612	0.8475	105	0.03825
13513	1577	0.00179	748189	0.8493	106	0.03862
19288	1535	0.001742	749724	0.8511	107	0.03898
24238	1442	0.001637	751166	0.8527	108	0.03934
29359	1358	0.001542	752524	0.8542	109	0.03971
18798	1345	0.001527	753869	0.8558	110	0.04007
22900	1334	0.001514	755203	0.8573	111	0.04044
17897	1331	0.001511	756534	0.8588	112	0.0408
19974	1245	0.001413	757779	0.8602	113	0.04117
12694	1223	0.001388	759002	0.8616	114	0.04153
16424	1223	0.001388	760225	0.863	115	0.04189
26005	1199	0.001361	761424	0.8643	116	0.04226
20026	1153	0.001309	762577	0.8657	117	0.04262
2472	1114	0.001265	763691	0.8669	118	0.04299
287	1110	0.00126	764801	0.8682	119	0.04335
15637	1101	0.00125	765902	0.8694	120	0.04372
28912	1073	0.001218	766975	0.8706	121	0.04408
18027	1065	0.001209	768040	0.8719	122	0.04444
19519	1046	0.001187	769086	0.873	123	0.04481
2011	1017	0.001154	770103	0.8742	124	0.04517
22764	1003	0.001139	771106	0.8753	125	0.04554
5104	932	0.001058	772038	0.8764	126	0.0459
437	923	0.001048	772961	0.8774	127	0.04627
16219	917	0.001041	773878	0.8785	128	0.04663
1417	913	0.001036	774791	0.8795	129	0.04699
18032	890	0.00101	775681	0.8805	130	0.04736
15898	885	0.001005	776566	0.8815	131	0.04772
5226	881	0.001	777447	0.8825	132	0.04809
2752	846	0.0009604	778293	0.8835	133	0.04845
13412	844	0.0009581	779137	0.8845	134	0.04882
28196	829	0.0009411	779966	0.8854	135	0.04918
1822	828	0.0009399	780794	0.8863	136	0.04954
29946	826	0.0009377	781620	0.8873	137	0.04991
8789	792	0.0008991	782412	0.8882	138	0.05027
6222	791	0.0008979	783203	0.8891	139	0.05064
8435	788	0.0008945	783991	0.89	140	0.051
5860	779	0.0008843	784770	0.8908	141	0.05137
28391	769	0.0008729	785539	0.8917	142	0.05173
26278	757	0.0008593	786296	0.8926	143	0.05209
4630	727	0.0008253	787023	0.8934	144	0.05246
972	726	0.0008241	787749	0.8942	145	0.05282
7007	716	0.0008128	788465	0.895	146	0.05319
12849	706	0.0008014	789171	0.8958	147	0.05355
22063	690	0.0007833	789861	0.8966	148	0.05392
22965	679	0.0007708	790540	0.8974	149	0.05428
22756	662	0.0007515	791202	0.8982	150	0.05464
21549	657	0.0007458	791859	0.8989	151	0.05501
6426	647	0.0007345	792506	0.8996	152	0.05537
14055	624	0.0007083	793130	0.9003	153	0.05574
24233	624	0.0007083	793754	0.901	154	0.0561
23843	622	0.0007061	794376	0.9018	155	0.05647
5732	582	0.0006607	794958	0.9024	156	0.05683
72	581	0.0006595	795539	0.9031	157	0.05719
6525	578	0.0006561	796117	0.9037	158	0.05756
17437	575	0.0006527	796692	0.9044	159	0.05792
22852	560	0.0006357	797252	0.905	160	0.05829
3885	551	0.0006255	797803	0.9056	161	0.05865
22131	548	0.0006221	798351	0.9063	162	0.05902
24650	547	0.0006209	798898	0.9069	163	0.05938
