style	freq	prob	cfreq	cprob	count	cfrac
17387	91706	0.1041	91706	0.1041	1	0.009174
28825	63155	0.07169	154861	0.1758	2	0.01835
13916	61719	0.07006	216580	0.2459	3	0.02752
6089	35376	0.04016	251956	0.286	4	0.0367
12677	35053	0.03979	287009	0.3258	5	0.04587
1026	32955	0.03741	319964	0.3632	6	0.05505
9284	32861	0.0373	352825	0.4005	7	0.06422
6935	24159	0.02742	376984	0.4279	8	0.07339
8361	22945	0.02605	399929	0.454	9	0.08257
3553	21303	0.02418	421232	0.4782	10	0.09174
25106	18704	0.02123	439936	0.4994	11	0.1009
28755	18191	0.02065	458127	0.5201	12	0.1101
5271	17079	0.01939	475206	0.5394	13	0.1193
13584	17042	0.01935	492248	0.5588	14	0.1284
26068	15183	0.01724	507431	0.576	15	0.1376
25835	14603	0.01658	522034	0.5926	16	0.1468
3885	13928	0.01581	535962	0.6084	17	0.156
11837	13878	0.01575	549840	0.6242	18	0.1651
10284	13332	0.01513	563172	0.6393	19	0.1743
23905	12837	0.01457	576009	0.6539	20	0.1835
8872	12627	0.01433	588636	0.6682	21	0.1927
5156	11862	0.01347	600498	0.6817	22	0.2018
11414	11649	0.01322	612147	0.6949	23	0.211
28714	11248	0.01277	623395	0.7077	24	0.2202
7081	10884	0.01236	634279	0.72	25	0.2294
9705	10333	0.01173	644612	0.7317	26	0.2385
29760	10123	0.01149	654735	0.7432	27	0.2477
29676	9929	0.01127	664664	0.7545	28	0.2569
8598	9779	0.0111	674443	0.7656	29	0.2661
24013	9313	0.01057	683756	0.7762	30	0.2752
11268	9004	0.01022	692760	0.7864	31	0.2844
20702	8722	0.009901	701482	0.7963	32	0.2936
26051	8307	0.00943	709789	0.8057	33	0.3028
668	6848	0.007774	716637	0.8135	34	0.3119
6238	6778	0.007694	723415	0.8212	35	0.3211
29926	6194	0.007031	729609	0.8282	36	0.3303
13731	5903	0.006701	735512	0.8349	37	0.3394
8776	5801	0.006585	741313	0.8415	38	0.3486
5412	5628	0.006389	746941	0.8479	39	0.3578
18275	5523	0.00627	752464	0.8542	40	0.367
14168	5503	0.006247	757967	0.8604	41	0.3761
5724	5491	0.006233	763458	0.8667	42	0.3853
16154	5489	0.006231	768947	0.8729	43	0.3945
17985	5460	0.006198	774407	0.8791	44	0.4037
440	5411	0.006142	779818	0.8852	45	0.4128
14386	5379	0.006106	785197	0.8913	46	0.422
3247	5152	0.005848	790349	0.8972	47	0.4312
19511	4780	0.005426	795129	0.9026	48	0.4404
18453	4753	0.005395	799882	0.908	49	0.4495
23668	4551	0.005166	804433	0.9132	50	0.4587
1060	4374	0.004965	808807	0.9181	51	0.4679
9360	4082	0.004634	812889	0.9228	52	0.4771
24053	3915	0.004444	816804	0.9272	53	0.4862
22703	3809	0.004324	820613	0.9315	54	0.4954
27451	3590	0.004075	824203	0.9356	55	0.5046
11507	3542	0.004021	827745	0.9396	56	0.5138
9175	3401	0.003861	831146	0.9435	57	0.5229
24942	3316	0.003764	834462	0.9473	58	0.5321
19662	3206	0.003639	837668	0.9509	59	0.5413
26661	3032	0.003442	840700	0.9543	60	0.5505
