key	freq	prob	cfreq	cprob	count	cfrac
18408	1757	0.001994	1757	0.001994	1	3.525e-05
6135	1060	0.001203	2817	0.003198	2	7.051e-05
19990	806	0.0009149	3623	0.004113	3	0.0001058
12652	687	0.0007799	4310	0.004893	4	0.000141
7406	635	0.0007208	4945	0.005613	5	0.0001763
26807	598	0.0006788	5543	0.006292	6	0.0002115
26006	561	0.0006368	6104	0.006929	7	0.0002468
1411	532	0.0006039	6636	0.007533	8	0.000282
56	529	0.0006005	7165	0.008134	9	0.0003173
11963	527	0.0005982	7692	0.008732	10	0.0003525
9498	515	0.0005846	8207	0.009316	11	0.0003878
19654	514	0.0005835	8721	0.0099	12	0.000423
20599	510	0.0005789	9231	0.01048	13	0.0004583
161	497	0.0005642	9728	0.01104	14	0.0004935
24230	496	0.000563	10224	0.01161	15	0.0005288
11927	494	0.0005608	10718	0.01217	16	0.0005641
6154	488	0.000554	11206	0.01272	17	0.0005993
21425	456	0.0005176	11662	0.01324	18	0.0006346
5498	443	0.0005029	12105	0.01374	19	0.0006698
6935	441	0.0005006	12546	0.01424	20	0.0007051
27913	439	0.0004983	12985	0.01474	21	0.0007403
5351	438	0.0004972	13423	0.01524	22	0.0007756
17596	437	0.0004961	13860	0.01573	23	0.0008108
18583	436	0.0004949	14296	0.01623	24	0.0008461
9009	433	0.0004915	14729	0.01672	25	0.0008813
6526	430	0.0004881	15159	0.01721	26	0.0009166
12412	428	0.0004859	15587	0.01769	27	0.0009518
14326	421	0.0004779	16008	0.01817	28	0.0009871
12407	420	0.0004768	16428	0.01865	29	0.001022
3760	419	0.0004756	16847	0.01912	30	0.001058
24100	418	0.0004745	17265	0.0196	31	0.001093
3282	417	0.0004734	17682	0.02007	32	0.001128
12326	416	0.0004722	18098	0.02054	33	0.001163
20421	415	0.0004711	18513	0.02102	34	0.001199
25305	415	0.0004711	18928	0.02149	35	0.001234
24519	414	0.00047	19342	0.02196	36	0.001269
4165	411	0.0004666	19753	0.02242	37	0.001304
23026	407	0.000462	20160	0.02289	38	0.00134
361	404	0.0004586	20564	0.02334	39	0.001375
20742	399	0.0004529	20963	0.0238	40	0.00141
11066	389	0.0004416	21352	0.02424	41	0.001445
28233	389	0.0004416	21741	0.02468	42	0.001481
17016	387	0.0004393	22128	0.02512	43	0.001516
11344	387	0.0004393	22515	0.02556	44	0.001551
22621	386	0.0004382	22901	0.026	45	0.001586
8081	382	0.0004336	23283	0.02643	46	0.001622
30	382	0.0004336	23665	0.02686	47	0.001657
6531	381	0.0004325	24046	0.0273	48	0.001692
23875	380	0.0004314	24426	0.02773	49	0.001727
21141	380	0.0004314	24806	0.02816	50	0.001763
3543	376	0.0004268	25182	0.02859	51	0.001798
21063	375	0.0004257	25557	0.02901	52	0.001833
8596	375	0.0004257	25932	0.02944	53	0.001868
18249	375	0.0004257	26307	0.02986	54	0.001904
27472	375	0.0004257	26682	0.03029	55	0.001939
1842	372	0.0004223	27054	0.03071	56	0.001974
8703	370	0.00042	27424	0.03113	57	0.002009
24862	369	0.0004189	27793	0.03155	58	0.002045
14066	365	0.0004143	28158	0.03196	59	0.00208
18890	365	0.0004143	28523	0.03238	60	0.002115
4424	364	0.0004132	28887	0.03279	61	0.00215
21068	362	0.0004109	29249	0.0332	62	0.002186
28049	362	0.0004109	29611	0.03361	63	0.002221
5674	360	0.0004087	29971	0.03402	64	0.002256
24515	360	0.0004087	30331	0.03443	65	0.002291
13659	357	0.0004053	30688	0.03484	66	0.002327
22580	356	0.0004041	31044	0.03524	67	0.002362
1635	356	0.0004041	31400	0.03564	68	0.002397
6771	356	0.0004041	31756	0.03605	69	0.002432
18489	355	0.000403	32111	0.03645	70	0.002468
16896	355	0.000403	32466	0.03685	71	0.002503
11357	355	0.000403	32821	0.03726	72	0.002538
20227	353	0.0004007	33174	0.03766	73	0.002574
17460	352	0.0003996	33526	0.03806	74	0.002609
23025	350	0.0003973	33876	0.03846	75	0.002644
4405	349	0.0003962	34225	0.03885	76	0.002679
23057	348	0.000395	34573	0.03925	77	0.002715
14786	346	0.0003928	34919	0.03964	78	0.00275
17033	345	0.0003916	35264	0.04003	79	0.002785
8245	345	0.0003916	35609	0.04042	80	0.00282
28165	345	0.0003916	35954	0.04081	81	0.002856
19199	343	0.0003894	36297	0.0412	82	0.002891
19212	343	0.0003894	36640	0.04159	83	0.002926
21081	343	0.0003894	36983	0.04198	84	0.002961
4547	340	0.000386	37323	0.04237	85	0.002997
22141	339	0.0003848	37662	0.04275	86	0.003032
28003	339	0.0003848	38001	0.04314	87	0.003067
12925	337	0.0003826	38338	0.04352	88	0.003102
23391	336	0.0003814	38674	0.0439	89	0.003138
7286	335	0.0003803	39009	0.04428	90	0.003173
17812	335	0.0003803	39344	0.04466	91	0.003208
6928	334	0.0003791	39678	0.04504	92	0.003243
6356	332	0.0003769	40010	0.04542	93	0.003279
27659	331	0.0003757	40341	0.04579	94	0.003314
6350	331	0.0003757	40672	0.04617	95	0.003349
